checkin,checkout,adults,children,infants
Sat Aug 08 2020 00:06:41 GMT-0700 (Pacific Daylight Time),Tue Aug 11 2020 02:28:46 GMT-0700 (Pacific Daylight Time),3,2,1
Sun Aug 09 2020 08:12:56 GMT-0700 (Pacific Daylight Time),Mon Aug 10 2020 17:40:21 GMT-0700 (Pacific Daylight Time),1,4,1
Sat Aug 08 2020 15:08:05 GMT-0700 (Pacific Daylight Time),Thu Aug 13 2020 02:43:10 GMT-0700 (Pacific Daylight Time),1,3,2
Sun Aug 09 2020 07:03:35 GMT-0700 (Pacific Daylight Time),Fri Aug 14 2020 11:06:05 GMT-0700 (Pacific Daylight Time),3,2,2
Sat Aug 08 2020 00:43:51 GMT-0700 (Pacific Daylight Time),Tue Aug 11 2020 03:28:21 GMT-0700 (Pacific Daylight Time),6,2,0
Fri Aug 07 2020 20:27:47 GMT-0700 (Pacific Daylight Time),Tue Aug 11 2020 20:42:17 GMT-0700 (Pacific Daylight Time),2,4,0
Sun Aug 09 2020 08:50:26 GMT-0700 (Pacific Daylight Time),Fri Aug 14 2020 15:38:43 GMT-0700 (Pacific Daylight Time),4,1,1
Sun Aug 09 2020 12:01:34 GMT-0700 (Pacific Daylight Time),Thu Aug 13 2020 09:56:10 GMT-0700 (Pacific Daylight Time),3,4,0
Sun Aug 09 2020 11:25:47 GMT-0700 (Pacific Daylight Time),Fri Aug 14 2020 10:59:32 GMT-0700 (Pacific Daylight Time),6,3,1
Sat Aug 08 2020 17:18:35 GMT-0700 (Pacific Daylight Time),Thu Aug 13 2020 14:49:01 GMT-0700 (Pacific Daylight Time),6,2,2
Sun Aug 09 2020 00:01:38 GMT-0700 (Pacific Daylight Time),Sun Aug 09 2020 18:07:35 GMT-0700 (Pacific Daylight Time),1,1,1
Sun Aug 09 2020 16:00:20 GMT-0700 (Pacific Daylight Time),Wed Aug 12 2020 12:29:08 GMT-0700 (Pacific Daylight Time),4,3,0
Fri Aug 07 2020 22:34:10 GMT-0700 (Pacific Daylight Time),Wed Aug 12 2020 19:30:28 GMT-0700 (Pacific Daylight Time),5,4,1
Sun Aug 09 2020 13:23:03 GMT-0700 (Pacific Daylight Time),Wed Aug 12 2020 19:31:18 GMT-0700 (Pacific Daylight Time),5,4,2
Sat Aug 08 2020 14:06:45 GMT-0700 (Pacific Daylight Time),Fri Aug 14 2020 00:53:03 GMT-0700 (Pacific Daylight Time),3,4,2
Sat Aug 08 2020 10:18:48 GMT-0700 (Pacific Daylight Time),Fri Aug 14 2020 10:14:48 GMT-0700 (Pacific Daylight Time),5,4,1
Sun Aug 09 2020 13:07:27 GMT-0700 (Pacific Daylight Time),Tue Aug 11 2020 23:12:27 GMT-0700 (Pacific Daylight Time),6,3,1
Sat Aug 08 2020 18:38:47 GMT-0700 (Pacific Daylight Time),Tue Aug 11 2020 18:25:52 GMT-0700 (Pacific Daylight Time),1,1,2
Sat Aug 08 2020 15:47:19 GMT-0700 (Pacific Daylight Time),Tue Aug 11 2020 16:31:12 GMT-0700 (Pacific Daylight Time),5,2,1
