nightly_fee,cleaning_fee,occupancy_tax_rate,avg_rating,reviews,city,max_capacity
299,60,0.12,1.77,762,Derickmouth,10
174,55,0.09,4.54,852,Noahmouth,6
346,23,0.11,3.87,985,Braunshire,8
236,38,0.09,0.23,943,Daynaland,8
183,76,0.10,2.7,848,East Letha,4
258,21,0.09,2.54,517,Nienowborough,3
223,51,0.10,0.08,528,Caleland,2
86,40,0.10,0.23,733,Judsonside,5
267,59,0.08,2.35,748,South Marcelinaport,7
215,37,0.08,0.44,438,Hesselhaven,9
313,40,0.11,4.59,58,Trystanshire,2
283,30,0.08,3.6,615,Garnettside,4
304,79,0.1,2.86,637,Keeleymouth,6
124,37,0.08,1.5,79,Hesselville,2
353,69,0.10,4.4,408,East Piper,2
227,32,0.10,1.17,875,Dockfurt,5
271,28,0.1,0.75,129,East Jordonton,5
159,33,0.13,0.02,275,Lake Merlinberg,6
144,62,0.12,0.09,945,New Heiditon,7
262,61,0.11,4.55,838,Kingfort,7
233,77,0.08,4.92,107,Port Abby,7
243,34,0.11,0.68,930,West Lenora,10
242,52,0.11,2.48,103,O'Haraville,6
241,38,0.11,2.31,513,Johntown,2
86,39,0.09,1.17,953,New Mackview,8
289,58,0.12,2.44,289,West Jazlynborough,2
265,53,0.09,1.25,505,West Meda,2
156,53,0.09,0.59,218,Gustburgh,4
344,51,0.10,2.35,664,Rempelton,6
296,44,0.09,0.46,212,North Hallieburgh,4
169,40,0.11,2.09,88,West Emelietown,7
211,26,0.08,0.37,885,Alizebury,5
337,54,0.08,1.44,542,East Francis,7
271,67,0.09,4.04,650,North Romaine,9
334,39,0.09,1.95,358,Lindport,4
175,44,0.12,3.76,106,Moisesside,5
205,27,0.11,0.33,164,New Danaland,2
278,74,0.09,4.27,457,East Katrina,8
187,72,0.11,0.5,685,Lefflerburgh,8
103,37,0.11,1.11,286,New Dixiefort,8
320,61,0.09,3.26,34,New Bradleyton,10
211,47,0.09,1.67,732,North Germaineburgh,8
85,38,0.10,3.87,720,New Charles,10
187,30,0.09,3.16,762,Schmidtmouth,5
167,63,0.11,1.2,841,West Damaris,6
318,47,0.12,4.81,328,South Bethelfurt,4
266,67,0.09,0.05,309,Lake Paxtonshire,5
353,62,0.12,1.06,587,Jessicaland,4
248,65,0.10,3.58,642,Lake Ressie,5
270,58,0.11,1.91,749,Port Deion,10
301,25,0.09,3.59,708,Borerville,2
250,68,0.08,4.05,377,Nikolausfort,7
115,65,0.10,1.91,656,Ullrichhaven,8
121,36,0.10,2.06,349,New Guillermo,7
315,37,0.09,4.68,994,Hauckport,10
225,42,0.11,3.22,776,Port Erlingland,10
71,45,0.08,0.16,370,Aliciachester,7
209,35,0.09,4.77,518,North Lessieberg,4
231,56,0.12,0.51,922,Kirstinfort,3
282,63,0.10,1.14,411,East Domenickville,10
216,48,0.08,0.27,763,McCluremouth,5
241,80,0.09,2.7,477,Walkerport,5
89,63,0.11,2.79,453,Lake Cordieland,8
152,21,0.08,3.57,17,Lake Revamouth,6
240,66,0.12,0.48,623,Port Margieside,9
274,80,0.09,4.49,131,Dooleytown,2
336,35,0.08,4.1,283,Wuckertville,2
146,42,0.11,1.64,263,Louveniaville,5
247,48,0.10,1.1,260,West Sidneyville,3
145,32,0.11,4.79,665,North Kaylie,2
99,36,0.10,2.15,955,Antonettemouth,3
342,73,0.1,3.82,951,Aufderharfort,9
352,52,0.11,0.52,151,New Yolanda,6
207,53,0.12,4.51,861,East Tianaland,10
156,39,0.10,1.59,409,Lynchview,8
62,38,0.08,1.07,430,North Ebbaside,3
342,30,0.10,1.3,269,Lourdesmouth,10
187,45,0.08,3.36,187,Harveymouth,10
343,57,0.11,0.33,661,Sigurdton,7
142,41,0.10,3.72,971,North Ebonyhaven,7
324,63,0.10,4.61,988,Port Amely,4
113,37,0.08,4.82,505,Wildermanfort,8
62,23,0.09,3.04,223,New Cristinabury,5
106,56,0.10,4.82,868,East Herminio,5
319,43,0.12,3.48,509,Lake Mistyfort,4
354,47,0.11,4.32,885,New Bridie,3
325,21,0.09,0.75,520,West Emilyhaven,6
153,74,0.09,1.74,208,East Josephine,6
139,75,0.08,0.02,748,North Kaciberg,5
81,34,0.10,1.18,352,Albertashire,10
326,61,0.09,3.63,679,Terrencemouth,3
329,66,0.10,4.37,316,Lake Eloy,7
316,66,0.1,1.21,222,Rennerland,8
140,42,0.08,1.11,885,Dannieburgh,2
240,64,0.11,4.65,97,Kochton,10
125,42,0.11,3.33,726,South Selmerport,5
197,69,0.09,4.5,202,Port Emelieborough,6
228,23,0.10,2.78,334,Gladysbury,2
359,24,0.13,4.74,965,Estellborough,7
208,72,0.12,2.76,561,East Billy,7
353,54,0.11,1.43,784,Kaitlinland,7
181,42,0.13,4.49,31,Orphahaven,2
281,53,0.11,4.25,810,East Melvinshire,4
85,38,0.09,4.22,386,Maximilliaville,9
330,53,0.10,4.48,981,Port Derekburgh,2
102,74,0.09,2.32,457,Vincenzaberg,7
63,50,0.11,1.94,846,Jefferyfort,4
